date,hour,time_local,month,weekday,season,usage,prcp,tmax,tmin,year
2020-06-20,6,06:00:00,June,Saturday,Summer,0.09,0.09,74,61,2020
2020-06-20,7,07:00:00,June,Saturday,Summer,0.1,0.09,74,61,2020
2020-06-20,8,08:00:00,June,Saturday,Summer,0.08,0.09,74,61,2020
2020-06-20,9,09:00:00,June,Saturday,Summer,0.6000000000000001,0.09,74,61,2020
2020-06-20,10,10:00:00,June,Saturday,Summer,0.1,0.09,74,61,2020
2020-06-20,11,11:00:00,June,Saturday,Summer,0.47,0.09,74,61,2020
2020-06-20,12,12:00:00,June,Saturday,Summer,0.46,0.09,74,61,2020
2020-06-20,13,13:00:00,June,Saturday,Summer,0.44,0.09,74,61,2020
2020-06-20,14,14:00:00,June,Saturday,Summer,0.14,0.09,74,61,2020
2020-06-20,15,15:00:00,June,Saturday,Summer,0.47000000000000003,0.09,74,61,2020
2020-06-20,16,16:00:00,June,Saturday,Summer,0.09,0.09,74,61,2020
2020-06-20,17,17:00:00,June,Saturday,Summer,0.15,0.09,74,61,2020
2020-06-20,18,18:00:00,June,Saturday,Summer,0.54,0.09,74,61,2020
2020-06-20,19,19:00:00,June,Saturday,Summer,0.1,0.09,74,61,2020
2020-06-20,20,20:00:00,June,Saturday,Summer,0.09,0.09,74,61,2020
2020-06-20,21,21:00:00,June,Saturday,Summer,0.08,0.09,74,61,2020
2020-06-20,22,22:00:00,June,Saturday,Summer,0.09,0.09,74,61,2020
2020-06-20,23,23:00:00,June,Saturday,Summer,0.5700000000000001,0.09,74,61,2020
2020-06-21,0,00:00:00,June,Sunday,Summer,0.08,0,70,55,2020
2020-06-21,1,01:00:00,June,Sunday,Summer,0.93,0,70,55,2020
2020-06-21,2,02:00:00,June,Sunday,Summer,0.5499999999999999,0,70,55,2020
2020-06-21,3,03:00:00,June,Sunday,Summer,0.09,0,70,55,2020
2020-06-21,4,04:00:00,June,Sunday,Summer,0.1,0,70,55,2020
2020-06-21,5,05:00:00,June,Sunday,Summer,0.08,0,70,55,2020
2020-06-21,6,06:00:00,June,Sunday,Summer,0.49,0,70,55,2020
2020-06-21,7,07:00:00,June,Sunday,Summer,0.81,0,70,55,2020
2020-06-21,8,08:00:00,June,Sunday,Summer,0.08,0,70,55,2020
2020-06-21,9,09:00:00,June,Sunday,Summer,0.56,0,70,55,2020
2020-06-21,10,10:00:00,June,Sunday,Summer,0.1,0,70,55,2020
2020-06-21,11,11:00:00,June,Sunday,Summer,0.29,0,70,55,2020
2020-06-21,12,12:00:00,June,Sunday,Summer,1,0,70,55,2020
2020-06-21,13,13:00:00,June,Sunday,Summer,0.09,0,70,55,2020
2020-06-21,14,14:00:00,June,Sunday,Summer,0.08,0,70,55,2020
2020-06-21,15,15:00:00,June,Sunday,Summer,0.5,0,70,55,2020
2020-06-21,16,16:00:00,June,Sunday,Summer,0.08,0,70,55,2020
2020-06-21,17,17:00:00,June,Sunday,Summer,1.8399999999999999,0,70,55,2020
2020-06-21,18,18:00:00,June,Sunday,Summer,0.88,0,70,55,2020
2020-06-21,19,19:00:00,June,Sunday,Summer,0.46,0,70,55,2020
2020-06-21,20,20:00:00,June,Sunday,Summer,0.1,0,70,55,2020
2020-06-21,21,21:00:00,June,Sunday,Summer,0.39999999999999997,0,70,55,2020
2020-06-21,22,22:00:00,June,Sunday,Summer,0.08,0,70,55,2020
2020-06-21,23,23:00:00,June,Sunday,Summer,2.14,0,70,55,2020
2020-06-22,0,00:00:00,June,Monday,Summer,0.97,0,76,51,2020
2020-06-22,1,01:00:00,June,Monday,Summer,0.38,0,76,51,2020
2020-06-22,2,02:00:00,June,Monday,Summer,0.22,0,76,51,2020
2020-06-22,3,03:00:00,June,Monday,Summer,0.16,0,76,51,2020
2020-06-22,4,04:00:00,June,Monday,Summer,0.94,0,76,51,2020
2020-06-22,5,05:00:00,June,Monday,Summer,0.09,0,76,51,2020
2020-06-22,6,06:00:00,June,Monday,Summer,0.16,0,76,51,2020
2020-06-22,7,07:00:00,June,Monday,Summer,0.5700000000000001,0,76,51,2020
2020-06-22,8,08:00:00,June,Monday,Summer,0.12,0,76,51,2020
2020-06-22,9,09:00:00,June,Monday,Summer,1.14,0,76,51,2020
2020-06-22,10,10:00:00,June,Monday,Summer,2.11,0,76,51,2020
2020-06-22,11,11:00:00,June,Monday,Summer,3.85,0,76,51,2020
2020-06-22,12,12:00:00,June,Monday,Summer,2.69,0,76,51,2020
2020-06-22,13,13:00:00,June,Monday,Summer,3.41,0,76,51,2020
2020-06-22,14,14:00:00,June,Monday,Summer,1.25,0,76,51,2020
2020-06-22,15,15:00:00,June,Monday,Summer,1.92,0,76,51,2020
2020-06-22,16,16:00:00,June,Monday,Summer,1.1,0,76,51,2020
2020-06-22,17,17:00:00,June,Monday,Summer,3.33,0,76,51,2020
2020-06-22,18,18:00:00,June,Monday,Summer,1.74,0,76,51,2020
2020-06-22,19,19:00:00,June,Monday,Summer,0.12,0,76,51,2020
2020-06-22,20,20:00:00,June,Monday,Summer,0.39,0,76,51,2020
2020-06-22,21,21:00:00,June,Monday,Summer,0.09,0,76,51,2020
2020-06-22,22,22:00:00,June,Monday,Summer,0.43,0,76,51,2020
2020-06-22,23,23:00:00,June,Monday,Summer,1.21,0,76,51,2020
2020-06-23,0,00:00:00,June,Tuesday,Summer,0.49,0,81,55,2020
2020-06-23,1,01:00:00,June,Tuesday,Summer,0.16,0,81,55,2020
2020-06-23,2,02:00:00,June,Tuesday,Summer,0.42000000000000004,0,81,55,2020
2020-06-23,3,03:00:00,June,Tuesday,Summer,0.1,0,81,55,2020
2020-06-23,4,04:00:00,June,Tuesday,Summer,0.08,0,81,55,2020
2020-06-23,5,05:00:00,June,Tuesday,Summer,0.09,0,81,55,2020
2020-06-23,6,06:00:00,June,Tuesday,Summer,0.54,0,81,55,2020
2020-06-23,7,07:00:00,June,Tuesday,Summer,0.1,0,81,55,2020
2020-06-23,8,08:00:00,June,Tuesday,Summer,0.31,0,81,55,2020
2020-06-23,9,09:00:00,June,Tuesday,Summer,0.72,0,81,55,2020
2020-06-23,10,10:00:00,June,Tuesday,Summer,1.8900000000000001,0,81,55,2020
2020-06-23,11,11:00:00,June,Tuesday,Summer,1.09,0,81,55,2020
2020-06-23,12,12:00:00,June,Tuesday,Summer,0.36,0,81,55,2020
2020-06-23,13,13:00:00,June,Tuesday,Summer,1.1099999999999999,0,81,55,2020
2020-06-23,14,14:00:00,June,Tuesday,Summer,1.78,0,81,55,2020
2020-06-23,15,15:00:00,June,Tuesday,Summer,1.8599999999999999,0,81,55,2020
2020-06-23,16,16:00:00,June,Tuesday,Summer,0.46,0,81,55,2020
2020-06-23,17,17:00:00,June,Tuesday,Summer,0.49,0,81,55,2020
2020-06-23,18,18:00:00,June,Tuesday,Summer,0.59,0,81,55,2020
2020-06-23,19,19:00:00,June,Tuesday,Summer,3.79,0,81,55,2020
2020-06-23,20,20:00:00,June,Tuesday,Summer,1.13,0,81,55,2020
2020-06-23,21,21:00:00,June,Tuesday,Summer,1.14,0,81,55,2020
2020-06-23,22,22:00:00,June,Tuesday,Summer,0.53,0,81,55,2020
2020-06-23,23,23:00:00,June,Tuesday,Summer,1.24,0,81,55,2020
2020-06-24,0,00:00:00,June,Wednesday,Summer,0.55,0,76,60,2020
2020-06-24,1,01:00:00,June,Wednesday,Summer,0.46,0,76,60,2020
2020-06-24,2,02:00:00,June,Wednesday,Summer,0.13,0,76,60,2020
2020-06-24,3,03:00:00,June,Wednesday,Summer,0.41,0,76,60,2020
2020-06-24,4,04:00:00,June,Wednesday,Summer,0.08,0,76,60,2020
2020-06-24,5,05:00:00,June,Wednesday,Summer,0.1,0,76,60,2020
2020-06-24,6,06:00:00,June,Wednesday,Summer,0.08,0,76,60,2020
2020-06-24,7,07:00:00,June,Wednesday,Summer,0.52,0,76,60,2020
2020-06-24,8,08:00:00,June,Wednesday,Summer,0.99,0,76,60,2020
2020-06-24,9,09:00:00,June,Wednesday,Summer,1.49,0,76,60,2020
2020-06-24,10,10:00:00,June,Wednesday,Summer,0.88,0,76,60,2020
2020-06-24,11,11:00:00,June,Wednesday,Summer,0.91,0,76,60,2020
2020-06-24,12,12:00:00,June,Wednesday,Summer,0.66,0,76,60,2020
2020-06-24,13,13:00:00,June,Wednesday,Summer,3.1,0,76,60,2020
2020-06-24,14,14:00:00,June,Wednesday,Summer,1.72,0,76,60,2020
2020-06-24,15,15:00:00,June,Wednesday,Summer,1.85,0,76,60,2020
2020-06-24,16,16:00:00,June,Wednesday,Summer,4.16,0,76,60,2020
2020-06-24,17,17:00:00,June,Wednesday,Summer,3.06,0,76,60,2020
2020-06-24,18,18:00:00,June,Wednesday,Summer,2.16,0,76,60,2020
2020-06-24,19,19:00:00,June,Wednesday,Summer,0.65,0,76,60,2020
2020-06-24,20,20:00:00,June,Wednesday,Summer,0.39,0,76,60,2020
2020-06-24,21,21:00:00,June,Wednesday,Summer,0.1,0,76,60,2020
2020-06-24,22,22:00:00,June,Wednesday,Summer,0.38,0,76,60,2020
2020-06-24,23,23:00:00,June,Wednesday,Summer,0.61,0,76,60,2020
2020-06-25,0,00:00:00,June,Thursday,Summer,1.37,0,77,59,2020
2020-06-25,1,01:00:00,June,Thursday,Summer,0.9,0,77,59,2020
2020-06-25,2,02:00:00,June,Thursday,Summer,1.52,0,77,59,2020
2020-06-25,3,03:00:00,June,Thursday,Summer,0.58,0,77,59,2020
2020-06-25,4,04:00:00,June,Thursday,Summer,0.49,0,77,59,2020
2020-06-25,5,05:00:00,June,Thursday,Summer,0.11,0,77,59,2020
2020-06-25,6,06:00:00,June,Thursday,Summer,0.41000000000000003,0,77,59,2020
2020-06-25,7,07:00:00,June,Thursday,Summer,0.11,0,77,59,2020
