TYPE,DATE,START TIME,END TIME,USAGE,UNITS,NOTES
Electric usage,1/15/2021,6:00,6:14,0.4,kWh,
Electric usage,1/15/2021,6:15,6:29,0.56,kWh,
Electric usage,1/15/2021,6:30,6:44,0.57,kWh,
Electric usage,1/15/2021,6:45,6:59,0.51,kWh,
Electric usage,1/15/2021,7:00,7:14,0.62,kWh,
Electric usage,1/15/2021,7:15,7:29,0.28,kWh,
Electric usage,1/15/2021,7:30,7:44,0.27,kWh,
Electric usage,1/15/2021,7:45,7:59,0.26,kWh,
Electric usage,1/15/2021,8:00,8:14,0.27,kWh,
Electric usage,1/15/2021,8:15,8:29,0.59,kWh,
Electric usage,1/15/2021,8:30,8:44,0.27,kWh,
Electric usage,1/15/2021,8:45,8:59,0.89,kWh,
Electric usage,1/15/2021,9:00,9:14,0.26,kWh,
Electric usage,1/15/2021,9:15,9:29,0.27,kWh,
Electric usage,1/15/2021,9:30,9:44,0.26,kWh,
Electric usage,1/15/2021,9:45,9:59,0.27,kWh,
Electric usage,1/15/2021,10:00,10:14,0.59,kWh,
Electric usage,1/15/2021,10:15,10:29,0.27,kWh,
Electric usage,1/15/2021,10:30,10:44,0.51,kWh,
Electric usage,1/15/2021,10:45,10:59,0.64,kWh,
Electric usage,1/15/2021,11:00,11:14,0.27,kWh,
Electric usage,1/15/2021,11:15,11:29,0.26,kWh,
Electric usage,1/15/2021,11:30,11:44,0.29,kWh,
Electric usage,1/15/2021,11:45,11:59,0.29,kWh,
Electric usage,1/15/2021,12:00,12:14,0.69,kWh,
Electric usage,1/15/2021,12:15,12:29,0.26,kWh,
Electric usage,1/15/2021,12:30,12:44,0.29,kWh,
Electric usage,1/15/2021,12:45,12:59,0.86,kWh,
Electric usage,1/15/2021,13:00,13:14,0.27,kWh,
Electric usage,1/15/2021,13:15,13:29,0.59,kWh,
Electric usage,1/15/2021,13:30,13:44,0.27,kWh,
Electric usage,1/15/2021,13:45,13:59,0.27,kWh,
Electric usage,1/15/2021,14:00,14:14,0.28,kWh,
Electric usage,1/15/2021,14:15,14:29,0.26,kWh,
Electric usage,1/15/2021,14:30,14:44,0.83,kWh,
Electric usage,1/15/2021,14:45,14:59,0.68,kWh,
Electric usage,1/15/2021,15:00,15:14,0.33,kWh,
Electric usage,1/15/2021,15:15,15:29,1.27,kWh,
Electric usage,1/15/2021,15:30,15:44,1.71,kWh,
Electric usage,1/15/2021,15:45,15:59,2.03,kWh,
Electric usage,1/15/2021,16:00,16:14,0.4,kWh,
Electric usage,1/15/2021,16:15,16:29,0.26,kWh,
Electric usage,1/15/2021,16:30,16:44,0.81,kWh,
Electric usage,1/15/2021,16:45,16:59,0.27,kWh,
Electric usage,1/15/2021,17:00,17:14,0.59,kWh,
Electric usage,1/15/2021,17:15,17:29,0.87,kWh,
Electric usage,1/15/2021,17:30,17:44,0.27,kWh,
Electric usage,1/15/2021,17:45,17:59,0.26,kWh,
Electric usage,1/15/2021,18:00,18:14,0.59,kWh,
Electric usage,1/15/2021,18:15,18:29,0.49,kWh,
Electric usage,1/15/2021,18:30,18:44,0.7,kWh,
Electric usage,1/15/2021,18:45,18:59,0.28,kWh,
Electric usage,1/15/2021,19:00,19:14,0.56,kWh,
Electric usage,1/15/2021,19:15,19:29,0.27,kWh,
Electric usage,1/15/2021,19:30,19:44,0.36,kWh,
Electric usage,1/15/2021,19:45,19:59,0.74,kWh,
Electric usage,1/15/2021,20:00,20:14,0.34,kWh,
Electric usage,1/15/2021,20:15,20:29,0.54,kWh,
Electric usage,1/15/2021,20:30,20:44,0.29,kWh,
Electric usage,1/15/2021,20:45,20:59,0.62,kWh,
Electric usage,1/15/2021,21:00,21:14,0.68,kWh,
Electric usage,1/15/2021,21:15,21:29,0.27,kWh,
Electric usage,1/15/2021,21:30,21:44,0.28,kWh,
Electric usage,1/15/2021,21:45,21:59,0.56,kWh,
Electric usage,1/15/2021,22:00,22:14,0.67,kWh,
Electric usage,1/15/2021,22:15,22:29,0.49,kWh,
Electric usage,1/15/2021,22:30,22:44,0.58,kWh,
